"V1" "V2" "V3" "V4" "V5" "V6"
"12534" "img/2709000_1269000_2709500_1269500.tiff" 1450 3850 1870 4170 "school"
"12535" "img/2709000_1269000_2709500_1269500.tiff" 1970 3120 2690 4040 "school"
"12536" "img/2709000_1269000_2709500_1269500.tiff" 1100 2870 1850 3910 "school"
"12537" "img/2709000_1269000_2709500_1269500.tiff" 190 2600 900 3640 "school"
"12538" "img/2709000_1269000_2709500_1269500.tiff" 1950 2170 2650 2990 "school"
"12539" "img/2709000_1269000_2709500_1269500.tiff" 1070 2180 1790 2720 "school"
"12543" "img/2542000_1169000_2542500_1169500.tiff" 3890 2590 4570 3410 "graveyard"
"12566" "img/2610500_1213000_2611000_1213500.tiff" 0 4930 170 5000 "school"
"12570" "img/2569000_1127000_2569500_1127500.tiff" 0 2960 680 3600 "graveyard"
"12578" "img/2701500_1277500_2702000_1278000.tiff" 1650 3250 2310 4440 "graveyard"
"12590" "img/2724500_1254000_2725000_1254500.tiff" 0 4270 310 5000 "school"
"12592" "img/2506500_1122500_2507000_1123000.tiff" 1060 4690 1860 5000 "graveyard"
"12593" "img/2506500_1122500_2507000_1123000.tiff" 0 2220 510 3300 "graveyard"
"12596" "img/2632500_1124500_2633000_1125000.tiff" 4630 2740 4800 2880 "graveyard"
"12597" "img/2632500_1124500_2633000_1125000.tiff" 4430 2690 4640 2930 "graveyard"
"12598" "img/2561000_1125000_2561500_1125500.tiff" 4510 2260 4930 3350 "school"
"12599" "img/2561000_1125000_2561500_1125500.tiff" 4640 1980 4860 2250 "school"
"12600" "img/2561000_1125000_2561500_1125500.tiff" 3750 960 4040 1310 "school"
"12601" "img/2561000_1125000_2561500_1125500.tiff" 2300 510 3580 1720 "school"
"12602" "img/2561000_1125000_2561500_1125500.tiff" 1900 140 3130 1020 "school"
"12603" "img/2561000_1125000_2561500_1125500.tiff" 3090 40 3520 250 "school"
"12604" "img/2604000_1198000_2604500_1198500.tiff" 1550 4680 3480 5000 "school"
"12605" "img/2604000_1198000_2604500_1198500.tiff" 3290 4830 3570 5000 "school"
"12606" "img/2604000_1198000_2604500_1198500.tiff" 1820 70 2800 500 "school"
"12607" "img/2604000_1198000_2604500_1198500.tiff" 1700 120 3300 900 "school"
"12608" "img/2540000_1177000_2540500_1177500.tiff" 4190 2650 4620 3020 "graveyard"
"12635" "img/2704000_1114000_2704500_1114500.tiff" 0 4110 2050 4740 "graveyard"
"12636" "img/2704000_1114000_2704500_1114500.tiff" 0 4090 230 4730 "graveyard"
"12637" "img/2704000_1114000_2704500_1114500.tiff" 3750 4100 4110 4530 "graveyard"
"12644" "img/2622500_1202500_2623000_1203000.tiff" 3530 3680 3750 3830 "school"
"12645" "img/2622500_1202500_2623000_1203000.tiff" 490 2450 2190 4360 "school"
"12659" "img/2575000_1209000_2575500_1209500.tiff" 3950 4000 4460 4440 "graveyard"
"12660" "img/2575000_1209000_2575500_1209500.tiff" 2250 3860 3000 4440 "graveyard"
"12665" "img/2609000_1269500_2609500_1270000.tiff" 450 4890 750 5000 "school"
"12671" "img/2530500_1165500_2531000_1166000.tiff" 1440 3280 1730 3510 "graveyard"
"12672" "img/2731500_1173500_2732000_1174000.tiff" 380 4490 530 4710 "graveyard"
"12673" "img/2542000_1174500_2542500_1175000.tiff" 360 4600 870 5000 "graveyard"
"12686" "img/2699500_1243000_2700000_1243500.tiff" 3040 3880 3320 4280 "school"
"12687" "img/2699500_1243000_2700000_1243500.tiff" 1570 3310 2410 3760 "school"
"12688" "img/2592500_1223000_2593000_1223500.tiff" 4470 2520 4930 3510 "school"
"12689" "img/2592500_1223000_2593000_1223500.tiff" 4610 2470 4940 2860 "school"
"12710" "img/2500500_1137500_2501000_1138000.tiff" 3710 4290 4170 4720 "school"
"12711" "img/2500500_1137500_2501000_1138000.tiff" 4200 4110 4730 4610 "school"
"12734" "img/2724000_1240500_2724500_1241000.tiff" 3350 4640 4540 5000 "school"
"12735" "img/2724000_1240500_2724500_1241000.tiff" 3320 4620 3720 5000 "school"
"12736" "img/2724000_1240500_2724500_1241000.tiff" 3350 4220 3750 4640 "school"
"12737" "img/2724000_1240500_2724500_1241000.tiff" 3690 4160 4090 4620 "school"
"12738" "img/2724000_1240500_2724500_1241000.tiff" 4130 4230 4490 4450 "school"
"12739" "img/2724000_1240500_2724500_1241000.tiff" 3210 3870 3780 4260 "school"
"12740" "img/2724000_1240500_2724500_1241000.tiff" 4420 3840 4910 4310 "school"
"12741" "img/2724000_1240500_2724500_1241000.tiff" 2980 3060 4620 5000 "school"
"12742" "img/2724000_1240500_2724500_1241000.tiff" 4030 3630 4490 4230 "school"
"12743" "img/2724000_1240500_2724500_1241000.tiff" 3190 3090 3570 4340 "school"
"12744" "img/2724000_1240500_2724500_1241000.tiff" 3290 3300 3430 3700 "school"
"12745" "img/2724000_1240500_2724500_1241000.tiff" 3250 2940 4230 4170 "school"
"12746" "img/2724000_1240500_2724500_1241000.tiff" 4180 3030 4550 3740 "school"
"12747" "img/2724000_1240500_2724500_1241000.tiff" 4090 2630 4390 2960 "school"
"12748" "img/2724000_1240500_2724500_1241000.tiff" 2000 2450 2470 3210 "school"
"12749" "img/2724000_1240500_2724500_1241000.tiff" 1900 1440 2060 1610 "school"
"12750" "img/2724000_1240500_2724500_1241000.tiff" 3870 520 4740 1450 "school"
"12770" "img/2529500_1168000_2530000_1168500.tiff" 0 4500 660 5000 "graveyard"
"12779" "img/2627000_1191500_2627500_1192000.tiff" 3240 2060 3720 2480 "school"
"12808" "img/2627000_1235000_2627500_1235500.tiff" 2150 20 2520 140 "school"
"12854" "img/2587000_1205500_2587500_1206000.tiff" 1140 4310 1810 4950 "graveyard"
"12873" "img/2599000_1198000_2599500_1198500.tiff" 0 4790 1550 5000 "school"
"12874" "img/2599000_1198000_2599500_1198500.tiff" 0 4070 760 5000 "school"
"12875" "img/2599000_1198000_2599500_1198500.tiff" 0 3880 920 5000 "school"
"12876" "img/2599000_1198000_2599500_1198500.tiff" 2380 2790 4030 5000 "school"
"12877" "img/2599000_1198000_2599500_1198500.tiff" 3010 3280 3690 4120 "school"
"12878" "img/2599000_1198000_2599500_1198500.tiff" 2740 3040 3320 3650 "school"
"12879" "img/2599000_1198000_2599500_1198500.tiff" 0 1810 30 2490 "school"
"12880" "img/2599000_1198000_2599500_1198500.tiff" 200 30 440 210 "school"
"12881" "img/2678500_1279500_2679000_1280000.tiff" 3740 2920 3960 3090 "school"
"12885" "img/2499000_1115000_2499500_1115500.tiff" 4960 1840 4990 2130 "school"
"12886" "img/2499000_1115000_2499500_1115500.tiff" 4590 1060 4940 2320 "school"
"12887" "img/2499000_1115000_2499500_1115500.tiff" 4700 600 4960 920 "school"
"12888" "img/2499000_1115000_2499500_1115500.tiff" 3870 320 4470 1040 "school"
"12896" "img/2549000_1163500_2549500_1164000.tiff" 0 2800 450 3190 "graveyard"
"12899" "img/2710000_1096000_2710500_1096500.tiff" 0 2510 160 2990 "graveyard"
"12902" "img/2574500_1226500_2575000_1227000.tiff" 2620 1580 3400 2220 "graveyard"
"12908" "img/2747000_1262500_2747500_1263000.tiff" 4900 870 4980 1190 "graveyard"
"12909" "img/2747000_1262500_2747500_1263000.tiff" 4530 40 4930 310 "graveyard"
"12910" "img/2747000_1262500_2747500_1263000.tiff" 4380 50 4910 370 "graveyard"
"12911" "img/2637000_1239500_2637500_1240000.tiff" 500 160 2290 1170 "graveyard"
"12923" "img/2703500_1264500_2704000_1265000.tiff" 1090 90 1740 660 "school"
"12931" "img/2723000_1217000_2723500_1217500.tiff" 3940 1410 4860 2250 "school"
"12932" "img/2723000_1217000_2723500_1217500.tiff" 820 470 1700 1210 "school"
"12933" "img/2612000_1216000_2612500_1216500.tiff" 1470 4850 1840 5000 "school"
"12941" "img/2583000_1235500_2583500_1236000.tiff" 0 1370 310 1800 "graveyard"
"12952" "img/2696500_1264000_2697000_1264500.tiff" 2360 4650 3220 5000 "graveyard"
"12954" "img/2504000_1139000_2504500_1139500.tiff" 1720 3710 2160 4250 "graveyard"
"12955" "img/2632500_1244000_2633000_1244500.tiff" 4540 3100 4940 4120 "school"
"12968" "img/2603000_1201000_2603500_1201500.tiff" 3660 4510 4820 5000 "school"
"12969" "img/2603000_1201000_2603500_1201500.tiff" 3820 4570 4730 5000 "school"
"12970" "img/2603000_1201000_2603500_1201500.tiff" 2010 780 3010 1070 "school"
"12971" "img/2603000_1201000_2603500_1201500.tiff" 2050 680 3040 900 "school"
"12972" "img/2603000_1201000_2603500_1201500.tiff" 1580 100 4180 710 "school"
"12980" "img/2720000_1269500_2720500_1270000.tiff" 1300 4910 1660 5000 "graveyard"
"12984" "img/2704500_1149000_2705000_1149500.tiff" 4190 2780 4540 3080 "graveyard"
"13006" "img/2619000_1162500_2619500_1163000.tiff" 0 2990 100 3610 "school"
"13017" "img/2545000_1210000_2545500_1210500.tiff" 1310 80 3240 540 "graveyard"
"13020" "img/2517000_1159000_2517500_1159500.tiff" 1830 4340 2420 5000 "graveyard"
"13035" "img/2627000_1109000_2627500_1109500.tiff" 3110 1260 3320 1440 "graveyard"
"13037" "img/2538500_1177500_2539000_1178000.tiff" 1890 4650 2160 4940 "graveyard"
"13058" "img/2626500_1139000_2627000_1139500.tiff" 0 4050 50 4390 "school"
"13059" "img/2626500_1139000_2627000_1139500.tiff" 0 2430 180 2680 "school"
"13071" "img/2696000_1244000_2696500_1244500.tiff" 4490 3600 4930 5000 "school"
"13072" "img/2696000_1244000_2696500_1244500.tiff" 2490 270 4450 2020 "school"
"13074" "img/2736500_1274500_2737000_1275000.tiff" 3160 4800 3560 5000 "graveyard"
"13075" "img/2736500_1274500_2737000_1275000.tiff" 2120 3170 2650 3970 "graveyard"
"13076" "img/2736500_1274500_2737000_1275000.tiff" 3580 2390 3820 2590 "graveyard"
"13077" "img/2736500_1274500_2737000_1275000.tiff" 3680 1930 3860 2350 "graveyard"
"13078" "img/2736500_1274500_2737000_1275000.tiff" 2160 1950 2390 2130 "graveyard"
"13103" "img/2536000_1172500_2536500_1173000.tiff" 1340 950 1910 1400 "graveyard"
"13117" "img/2604000_1186000_2604500_1186500.tiff" 1330 400 2010 1230 "school"
"13122" "img/2707000_1105500_2707500_1106000.tiff" 920 4070 1110 4210 "graveyard"
"13123" "img/2670000_1176500_2670500_1177000.tiff" 0 2360 310 2650 "graveyard"
"13124" "img/2671500_1257000_2672000_1257500.tiff" 1240 1840 1920 2490 "graveyard"
"13125" "img/2671500_1257000_2672000_1257500.tiff" 3240 1230 4600 2720 "graveyard"
"13126" "img/2671500_1257000_2672000_1257500.tiff" 2250 820 3350 2330 "graveyard"
"13127" "img/2671500_1257000_2672000_1257500.tiff" 2520 900 2780 1330 "graveyard"
"13131" "img/2677000_1246000_2677500_1246500.tiff" 2870 2200 3230 2460 "school"
"13132" "img/2677000_1246000_2677500_1246500.tiff" 2780 1760 3380 2620 "school"
"13133" "img/2677000_1246000_2677500_1246500.tiff" 3160 1790 3340 2070 "school"
"13134" "img/2677000_1246000_2677500_1246500.tiff" 0 940 30 1460 "school"
"13135" "img/2600000_1145000_2600500_1145500.tiff" 1960 4580 2530 5000 "graveyard"
"13151" "img/2689500_1283000_2690000_1283500.tiff" 2410 2410 2620 2620 "school"
"13152" "img/2689500_1283000_2690000_1283500.tiff" 2030 2370 2310 2560 "school"
"13153" "img/2689500_1283000_2690000_1283500.tiff" 2670 1130 3080 1740 "school"
"13154" "img/2689500_1283000_2690000_1283500.tiff" 4560 2130 4940 2570 "school"
"13155" "img/2689500_1283000_2690000_1283500.tiff" 4320 1030 4480 1340 "school"
"13156" "img/2689500_1283000_2690000_1283500.tiff" 4200 1000 4340 1360 "school"
"13157" "img/2689500_1283000_2690000_1283500.tiff" 3780 970 4140 1360 "school"
"13158" "img/2689500_1283000_2690000_1283500.tiff" 4510 630 4930 1520 "school"
"13159" "img/2689500_1283000_2690000_1283500.tiff" 2810 1150 3090 1300 "school"
"13160" "img/2689500_1283000_2690000_1283500.tiff" 2710 1080 2850 1390 "school"
"13161" "img/2689500_1283000_2690000_1283500.tiff" 2640 800 2830 1100 "school"
"13162" "img/2689500_1283000_2690000_1283500.tiff" 0 140 60 410 "school"
"13186" "img/2583000_1213000_2583500_1213500.tiff" 0 3810 370 4110 "school"
"13192" "img/2563000_1251500_2563500_1252000.tiff" 300 10 670 80 "graveyard"
"13203" "img/2511000_1166500_2511500_1167000.tiff" 3330 1970 3590 2200 "school"
"13204" "img/2511000_1166500_2511500_1167000.tiff" 3580 610 3850 900 "school"
"13213" "img/2741500_1254000_2742000_1254500.tiff" 130 3770 370 4010 "school"
"13214" "img/2741500_1254000_2742000_1254500.tiff" 110 3580 1000 4230 "school"
"13215" "img/2741500_1254000_2742000_1254500.tiff" 40 3570 320 3800 "school"
"13216" "img/2741500_1254000_2742000_1254500.tiff" 490 2600 1130 2940 "school"
"13217" "img/2741500_1254000_2742000_1254500.tiff" 1100 2330 2080 2870 "school"
"13218" "img/2741500_1254000_2742000_1254500.tiff" 920 2310 1340 2580 "school"
"13219" "img/2722500_1078000_2723000_1078500.tiff" 4320 190 4910 1430 "school"
"13226" "img/2559000_1247000_2559500_1247500.tiff" 800 4790 1340 5000 "graveyard"
"13230" "img/2662000_1254500_2662500_1255000.tiff" 3840 1710 4840 2540 "graveyard"
"13231" "img/2662000_1254500_2662500_1255000.tiff" 0 1520 200 2060 "graveyard"
"13232" "img/2714500_1225500_2715000_1226000.tiff" 1770 2180 2560 2670 "school"
"13271" "img/2617000_1156000_2617500_1156500.tiff" 320 3290 1120 4450 "school"
"13316" "img/2617000_1175500_2617500_1176000.tiff" 2260 1420 2830 2260 "school"
"13317" "img/2617000_1175500_2617500_1176000.tiff" 1580 1440 2020 2130 "school"
"13318" "img/2617000_1175500_2617500_1176000.tiff" 2090 1340 2630 2180 "school"
"13319" "img/2617000_1175500_2617500_1176000.tiff" 590 1160 1470 2370 "school"
"13320" "img/2617000_1175500_2617500_1176000.tiff" 1960 1400 2060 1740 "school"
"13321" "img/2617000_1175500_2617500_1176000.tiff" 2140 1370 2310 1590 "school"
"13339" "img/2730000_1278000_2730500_1278500.tiff" 4200 4820 4890 5000 "graveyard"
"13340" "img/2730000_1278000_2730500_1278500.tiff" 2990 980 3120 1150 "graveyard"
"13341" "img/2730000_1278000_2730500_1278500.tiff" 2270 20 2410 100 "graveyard"
"13347" "img/2605500_1221000_2606000_1221500.tiff" 0 280 970 2120 "school"
"13348" "img/2521000_1164000_2521500_1164500.tiff" 3550 4930 3720 5000 "graveyard"
"13369" "img/2496000_1117000_2496500_1117500.tiff" 1590 4130 3050 5000 "school"
"13370" "img/2496000_1117000_2496500_1117500.tiff" 3210 4410 3410 4630 "school"
"13371" "img/2496000_1117000_2496500_1117500.tiff" 3210 4170 3550 4970 "school"
"13372" "img/2496000_1117000_2496500_1117500.tiff" 2670 4110 2810 4370 "school"
"13373" "img/2496000_1117000_2496500_1117500.tiff" 1060 3420 2080 4640 "school"
"13374" "img/2496000_1117000_2496500_1117500.tiff" 1870 3500 2370 4150 "school"
"13375" "img/2496000_1117000_2496500_1117500.tiff" 750 2260 1870 3570 "school"
"13376" "img/2496000_1117000_2496500_1117500.tiff" 4850 110 4980 810 "school"
"13377" "img/2496000_1117000_2496500_1117500.tiff" 1950 50 2640 350 "school"
"13386" "img/2685000_1244500_2685500_1245000.tiff" 3860 960 4320 1460 "school"
"13397" "img/2584500_1219000_2585000_1219500.tiff" 1900 4750 3120 5000 "school"
"13398" "img/2584500_1219000_2585000_1219500.tiff" 2130 4830 2450 5000 "school"
"13399" "img/2584500_1219000_2585000_1219500.tiff" 3340 3740 3780 4070 "school"
"13400" "img/2584500_1219000_2585000_1219500.tiff" 3100 3500 3370 3640 "school"
"13401" "img/2584500_1219000_2585000_1219500.tiff" 2560 3400 2720 3620 "school"
"13402" "img/2584500_1219000_2585000_1219500.tiff" 2360 3290 2500 3410 "school"
"13420" "img/2594500_1191500_2595000_1192000.tiff" 1790 4390 2730 5000 "school"
"13421" "img/2592000_1116000_2592500_1116500.tiff" 330 3960 900 4400 "graveyard"
"13422" "img/2592000_1116000_2592500_1116500.tiff" 1090 3630 1280 3890 "graveyard"
"13506" "img/2609500_1231500_2610000_1232000.tiff" 0 3100 1780 4580 "school"
"13562" "img/2665500_1252000_2666000_1252500.tiff" 2740 140 4090 1030 "graveyard"
"13573" "img/2669500_1225000_2670000_1225500.tiff" 0 1660 40 1900 "graveyard"
"13574" "img/2505000_1117500_2505500_1118000.tiff" 2560 4450 3730 5000 "school"
"13575" "img/2505000_1117500_2505500_1118000.tiff" 0 540 1920 4080 "school"
"13580" "img/2596000_1218500_2596500_1219000.tiff" 0 4790 430 5000 "graveyard"
"13602" "img/2748500_1261000_2749000_1261500.tiff" 590 840 770 1010 "school"
"13603" "img/2748500_1261000_2749000_1261500.tiff" 720 680 1100 1190 "school"
"13604" "img/2748500_1261000_2749000_1261500.tiff" 860 280 1330 680 "school"
"13605" "img/2748500_1261000_2749000_1261500.tiff" 0 140 800 1030 "school"
"13611" "img/2700500_1240000_2701000_1240500.tiff" 2110 3210 4110 4240 "graveyard"
"13615" "img/2733500_1276500_2734000_1277000.tiff" 2270 4400 3080 5000 "graveyard"
"13616" "img/2550000_1174500_2550500_1175000.tiff" 230 680 630 1080 "graveyard"
"13619" "img/2691500_1242000_2692000_1242500.tiff" 4530 110 4930 770 "school"
"13620" "img/2691500_1242000_2692000_1242500.tiff" 190 1150 590 1410 "school"
"13646" "img/2745000_1270000_2745500_1270500.tiff" 3740 4860 4270 5000 "graveyard"
"13647" "img/2745000_1270000_2745500_1270500.tiff" 1310 2670 1590 3180 "graveyard"
"13648" "img/2745000_1270000_2745500_1270500.tiff" 3260 1530 4120 2450 "graveyard"
"13649" "img/2745000_1270000_2745500_1270500.tiff" 4300 1330 4900 1990 "graveyard"
"13650" "img/2745000_1270000_2745500_1270500.tiff" 1120 1170 1230 1290 "graveyard"
"13651" "img/2745000_1270000_2745500_1270500.tiff" 1210 940 1490 1140 "graveyard"
"13652" "img/2745000_1270000_2745500_1270500.tiff" 1360 940 1500 1070 "graveyard"
"13653" "img/2745000_1270000_2745500_1270500.tiff" 740 790 1000 1280 "graveyard"
"13654" "img/2745000_1270000_2745500_1270500.tiff" 2730 770 3230 1210 "graveyard"
"13655" "img/2745000_1270000_2745500_1270500.tiff" 1790 800 1910 960 "graveyard"
"13656" "img/2745000_1270000_2745500_1270500.tiff" 930 440 1570 870 "graveyard"
"13657" "img/2745000_1270000_2745500_1270500.tiff" 800 430 910 680 "graveyard"
"13658" "img/2745000_1270000_2745500_1270500.tiff" 4190 90 4890 650 "graveyard"
"13659" "img/2745000_1270000_2745500_1270500.tiff" 2510 80 3690 580 "graveyard"
"13661" "img/2619000_1225500_2619500_1226000.tiff" 3860 210 4850 1550 "school"
"13682" "img/2745000_1266000_2745500_1266500.tiff" 3160 4950 3350 5000 "graveyard"
"13683" "img/2745000_1266000_2745500_1266500.tiff" 1720 3370 3760 4480 "graveyard"
"13684" "img/2745000_1266000_2745500_1266500.tiff" 2710 2920 3190 3310 "graveyard"
"13685" "img/2745000_1266000_2745500_1266500.tiff" 2710 2440 3730 3220 "graveyard"
"13686" "img/2745000_1266000_2745500_1266500.tiff" 1920 2240 2840 3370 "graveyard"
"13687" "img/2745000_1266000_2745500_1266500.tiff" 3590 1750 4720 2660 "graveyard"
"13695" "img/2538000_1156500_2538500_1157000.tiff" 2560 4920 3120 5000 "graveyard"
"13696" "img/2538000_1156500_2538500_1157000.tiff" 2340 3280 3870 5000 "graveyard"
"13697" "img/2538000_1156500_2538500_1157000.tiff" 1100 640 1440 890 "graveyard"
"13698" "img/2538000_1156500_2538500_1157000.tiff" 910 300 1480 960 "graveyard"
"13714" "img/2686000_1263500_2686500_1264000.tiff" 4580 4830 4940 5000 "school"
"13715" "img/2686000_1263500_2686500_1264000.tiff" 4250 4610 4660 5000 "school"
"13716" "img/2686000_1263500_2686500_1264000.tiff" 4360 4270 4910 4820 "school"
"13717" "img/2526000_1156000_2526500_1156500.tiff" 1690 1490 2580 2390 "school"
"13718" "img/2526000_1156000_2526500_1156500.tiff" 2000 830 3150 1900 "school"
"13719" "img/2526000_1156000_2526500_1156500.tiff" 2370 260 3540 1360 "school"
"13720" "img/2526000_1156000_2526500_1156500.tiff" 3550 230 3890 620 "school"
"13721" "img/2526000_1156000_2526500_1156500.tiff" 3400 120 3750 520 "school"
"13722" "img/2526000_1156000_2526500_1156500.tiff" 3360 20 3580 80 "school"
"13724" "img/2728500_1277500_2729000_1278000.tiff" 4590 2210 4940 2790 "graveyard"
"13725" "img/2606500_1214500_2607000_1215000.tiff" 1550 3110 1710 3320 "school"
"13726" "img/2606500_1214500_2607000_1215000.tiff" 1690 2830 1960 3210 "school"
"13727" "img/2606500_1214500_2607000_1215000.tiff" 2230 2790 2820 3140 "school"
"13728" "img/2606500_1214500_2607000_1215000.tiff" 810 2720 1200 3200 "school"
"13729" "img/2606500_1214500_2607000_1215000.tiff" 1940 2660 2260 3050 "school"
"13730" "img/2606500_1214500_2607000_1215000.tiff" 590 2360 1070 2760 "school"
"13731" "img/2606500_1214500_2607000_1215000.tiff" 3050 2330 3450 2600 "school"
"13732" "img/2606500_1214500_2607000_1215000.tiff" 910 2070 1710 3010 "school"
"13733" "img/2606500_1214500_2607000_1215000.tiff" 650 2190 950 2460 "school"
"13734" "img/2606500_1214500_2607000_1215000.tiff" 3000 2150 3410 2430 "school"
"13735" "img/2606500_1214500_2607000_1215000.tiff" 420 1980 850 2310 "school"
"13736" "img/2606500_1214500_2607000_1215000.tiff" 1360 1040 2120 1580 "school"
"13785" "img/2625500_1263500_2626000_1264000.tiff" 0 2610 200 2950 "graveyard"
"13794" "img/2656500_1209500_2657000_1210000.tiff" 330 2530 1650 3450 "graveyard"
"13806" "img/2596000_1193000_2596500_1193500.tiff" 3210 4200 4760 5000 "school"
"13807" "img/2596000_1193000_2596500_1193500.tiff" 3760 4370 4740 5000 "school"
"13808" "img/2596000_1193000_2596500_1193500.tiff" 3760 4650 3950 4830 "school"
"13809" "img/2596000_1193000_2596500_1193500.tiff" 3810 4490 4110 4800 "school"
"13810" "img/2596000_1193000_2596500_1193500.tiff" 3930 4180 4400 4670 "school"
"13840" "img/2729500_1257000_2730000_1257500.tiff" 4400 2330 4920 2910 "school"
"13841" "img/2729500_1257000_2730000_1257500.tiff" 0 1740 290 2280 "school"
"13851" "img/2571000_1150500_2571500_1151000.tiff" 1480 3920 1690 4150 "school"
"13869" "img/2538500_1152500_2539000_1153000.tiff" 350 1120 2050 1810 "school"
"13870" "img/2538500_1152500_2539000_1153000.tiff" 2820 4840 3630 5000 "school"
"13871" "img/2538500_1152500_2539000_1153000.tiff" 320 3620 1170 4430 "school"
"13872" "img/2538500_1152500_2539000_1153000.tiff" 4000 3700 4590 4220 "school"
"13873" "img/2538500_1152500_2539000_1153000.tiff" 3120 2890 4750 5000 "school"
"13874" "img/2538500_1152500_2539000_1153000.tiff" 540 3320 2510 4330 "school"
"13875" "img/2538500_1152500_2539000_1153000.tiff" 3950 2840 4800 3110 "school"
"13876" "img/2538500_1152500_2539000_1153000.tiff" 4100 2750 4240 2830 "school"
"13877" "img/2538500_1152500_2539000_1153000.tiff" 3530 2660 4030 2920 "school"
"13878" "img/2538500_1152500_2539000_1153000.tiff" 1460 610 1560 720 "school"
"13879" "img/2538500_1152500_2539000_1153000.tiff" 0 490 4340 3730 "school"
"13880" "img/2538500_1152500_2539000_1153000.tiff" 40 20 320 110 "school"
"13881" "img/2648500_1243000_2649000_1243500.tiff" 0 340 50 470 "school"
"13885" "img/2528000_1158000_2528500_1158500.tiff" 4130 3890 4570 4290 "graveyard"
"13895" "img/2664500_1212500_2665000_1213000.tiff" 0 3290 4270 5000 "graveyard"
"13953" "img/2598000_1192000_2598500_1192500.tiff" 2340 690 3110 1260 "school"
"13954" "img/2598000_1192000_2598500_1192500.tiff" 3490 710 3750 1020 "school"
"13968" "img/2603000_1203000_2603500_1203500.tiff" 1220 4950 1750 5000 "school"
"13980" "img/2494000_1117000_2494500_1117500.tiff" 4100 2650 4380 2930 "graveyard"
"13996" "img/2664000_1267500_2664500_1268000.tiff" 640 2860 900 3200 "graveyard"
"14027" "img/2660500_1173000_2661000_1173500.tiff" 760 4410 1660 4860 "graveyard"
"14073" "img/2697000_1214000_2697500_1214500.tiff" 0 4440 100 4610 "school"
"14074" "img/2697000_1214000_2697500_1214500.tiff" 0 4160 240 4500 "school"
"14082" "img/2654500_1266000_2655000_1266500.tiff" 1840 940 2270 1350 "graveyard"
"14084" "img/2572000_1218000_2572500_1218500.tiff" 4720 4760 4960 5000 "graveyard"
"14085" "img/2572000_1218000_2572500_1218500.tiff" 1300 40 2740 280 "graveyard"
"14086" "img/2599000_1236500_2599500_1237000.tiff" 2700 500 3620 1170 "graveyard"
"14095" "img/2526000_1173500_2526500_1174000.tiff" 2880 1860 3260 2190 "graveyard"
"14097" "img/2685000_1248500_2685500_1249000.tiff" 480 4770 1160 5000 "school"
"14098" "img/2685000_1248500_2685500_1249000.tiff" 770 4290 1110 4730 "school"
"14099" "img/2685000_1248500_2685500_1249000.tiff" 3390 3120 4790 4930 "school"
"14100" "img/2685000_1248500_2685500_1249000.tiff" 4940 1980 4990 2180 "school"
"14105" "img/2761500_1204000_2762000_1204500.tiff" 1860 4970 2110 5000 "graveyard"
"14107" "img/2559000_1207000_2559500_1207500.tiff" 4400 1490 4920 2110 "school"
"14108" "img/2559000_1207000_2559500_1207500.tiff" 4080 760 4610 1260 "school"
"14112" "img/2577000_1175000_2577500_1175500.tiff" 760 3560 1160 3880 "school"
"14113" "img/2577000_1175000_2577500_1175500.tiff" 210 2450 410 2640 "school"
"14122" "img/2714000_1104500_2714500_1105000.tiff" 1570 4790 1770 4960 "graveyard"
"14125" "img/2709500_1260500_2710000_1261000.tiff" 4580 290 4940 540 "school"
"14127" "img/2508000_1149000_2508500_1149500.tiff" 4790 740 4970 910 "school"
"14130" "img/2728500_1259500_2729000_1260000.tiff" 4560 3350 4850 3490 "graveyard"
"14131" "img/2728500_1259500_2729000_1260000.tiff" 4660 2800 4950 3040 "graveyard"
"14132" "img/2728500_1259500_2729000_1260000.tiff" 4810 2510 4970 2830 "graveyard"
"14133" "img/2573500_1210000_2574000_1210500.tiff" 3170 3380 3630 3810 "graveyard"
"14134" "img/2631000_1225500_2631500_1226000.tiff" 4110 3520 4880 5000 "school"
"14135" "img/2631000_1225500_2631500_1226000.tiff" 4680 3350 4950 3590 "school"
"14136" "img/2631000_1225500_2631500_1226000.tiff" 3810 3190 4180 3600 "school"
"14137" "img/2500000_1138500_2500500_1139000.tiff" 0 4140 1630 5000 "school"
"14181" "img/2696000_1117000_2696500_1117500.tiff" 1010 300 1220 380 "graveyard"
"14213" "img/2656000_1234000_2656500_1234500.tiff" 4030 4640 4490 5000 "school"
"14233" "img/2609000_1199000_2609500_1199500.tiff" 1890 1250 2670 2310 "graveyard"
"14292" "img/2783000_1150500_2783500_1151000.tiff" 1110 1350 2320 2040 "graveyard"
"14318" "img/2752000_1164500_2752500_1165000.tiff" 3050 2160 3260 2330 "graveyard"
"14364" "img/2607500_1187000_2608000_1187500.tiff" 3470 930 3990 1400 "graveyard"
"14365" "img/2604500_1194000_2605000_1194500.tiff" 0 2050 1200 3770 "school"
"14366" "img/2604500_1194000_2605000_1194500.tiff" 480 1510 900 1980 "school"
"14378" "img/2681500_1244000_2682000_1244500.tiff" 2660 410 4690 3070 "graveyard"
"14383" "img/2545500_1154000_2546000_1154500.tiff" 3230 2610 4020 3460 "graveyard"
"14384" "img/2545500_1154000_2546000_1154500.tiff" 2300 2540 3420 3170 "graveyard"
